saffl,trtemfl,aesoc,aedecod,trta,procedure,factor,denominator,measure,unit
Y,Y,CARDIAC DISORDERS,CARDIAC DISORDER,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,CARDIAC DISORDER,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,CARDIAC DISORDERS,CARDIAC FAILURE CONGESTIVE,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,CARDIAC FAILURE CONGESTIVE,Placebo,count,quantify,_ALL_,1,
Y,Y,CARDIAC DISORDERS,MYOCARDIAL INFARCTION,Placebo,countdistinct,usubjid,_ALL_,4,
Y,Y,CARDIAC DISORDERS,MYOCARDIAL INFARCTION,Placebo,count,quantify,_ALL_,4,
Y,Y,CARDIAC DISORDERS,MYOCARDIAL INFARCTION,Xanomeline High Dose,countdistinct,usubjid,_ALL_,4,
Y,Y,CARDIAC DISORDERS,MYOCARDIAL INFARCTION,Xanomeline High Dose,count,quantify,_ALL_,8,
Y,Y,CARDIAC DISORDERS,MYOCARDIAL INFARCTION,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,CARDIAC DISORDERS,MYOCARDIAL INFARCTION,Xanomeline Low Dose,count,quantify,_ALL_,4,
Y,Y,CARDIAC DISORDERS,PALPITATIONS,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,CARDIAC DISORDERS,PALPITATIONS,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,CARDIAC DISORDERS,SINUS ARRHYTHMIA,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,SINUS ARRHYTHMIA,Placebo,count,quantify,_ALL_,2,
Y,Y,CARDIAC DISORDERS,SINUS BRADYCARDIA,Placebo,countdistinct,usubjid,_ALL_,2,
Y,Y,CARDIAC DISORDERS,SINUS BRADYCARDIA,Placebo,count,quantify,_ALL_,2,
Y,Y,CARDIAC DISORDERS,SINUS BRADYCARDIA,Xanomeline High Dose,countdistinct,usubjid,_ALL_,8,
Y,Y,CARDIAC DISORDERS,SINUS BRADYCARDIA,Xanomeline High Dose,count,quantify,_ALL_,12,
Y,Y,CARDIAC DISORDERS,SINUS BRADYCARDIA,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,7,
Y,Y,CARDIAC DISORDERS,SINUS BRADYCARDIA,Xanomeline Low Dose,count,quantify,_ALL_,10,
Y,Y,CARDIAC DISORDERS,SUPRAVENTRICULAR EXTRASYSTOLES,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,SUPRAVENTRICULAR EXTRASYSTOLES,Placebo,count,quantify,_ALL_,2,
Y,Y,CARDIAC DISORDERS,SUPRAVENTRICULAR EXTRASYSTOLES,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,SUPRAVENTRICULAR EXTRASYSTOLES,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,CARDIAC DISORDERS,SUPRAVENTRICULAR EXTRASYSTOLES,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,SUPRAVENTRICULAR EXTRASYSTOLES,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,CARDIAC DISORDERS,SUPRAVENTRICULAR TACHYCARDIA,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,SUPRAVENTRICULAR TACHYCARDIA,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,CARDIAC DISORDERS,TACHYCARDIA,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,TACHYCARDIA,Placebo,count,quantify,_ALL_,2,
Y,Y,CARDIAC DISORDERS,VENTRICULAR EXTRASYSTOLES,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,VENTRICULAR EXTRASYSTOLES,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,CARDIAC DISORDERS,VENTRICULAR EXTRASYSTOLES,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,CARDIAC DISORDERS,VENTRICULAR EXTRASYSTOLES,Xanomeline Low Dose,count,quantify,_ALL_,4,
Y,Y,CARDIAC DISORDERS,VENTRICULAR HYPERTROPHY,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,VENTRICULAR HYPERTROPHY,Placebo,count,quantify,_ALL_,1,
Y,Y,CARDIAC DISORDERS,WOLFF-PARKINSON-WHITE SYNDROME,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,CARDIAC DISORDERS,WOLFF-PARKINSON-WHITE SYNDROME,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,"CONGENITAL, FAMILIAL AND GENETIC",VENTRICULAR SEPTAL DEFECT,Xanomeline High Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,"CONGENITAL, FAMILIAL AND GENETIC",VENTRICULAR SEPTAL DEFECT,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,"CONGENITAL, FAMILIAL AND GENETIC",VENTRICULAR SEPTAL DEFECT,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,"CONGENITAL, FAMILIAL AND GENETIC",VENTRICULAR SEPTAL DEFECT,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,EAR AND LABYRINTH DISORDERS,CERUMEN IMPACTION,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,EAR AND LABYRINTH DISORDERS,CERUMEN IMPACTION,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,EAR AND LABYRINTH DISORDERS,EAR PAIN,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,EAR AND LABYRINTH DISORDERS,EAR PAIN,Placebo,count,quantify,_ALL_,2,
Y,Y,EAR AND LABYRINTH DISORDERS,VERTIGO,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,EAR AND LABYRINTH DISORDERS,VERTIGO,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,EAR AND LABYRINTH DISORDERS,VERTIGO,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,EAR AND LABYRINTH DISORDERS,VERTIGO,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,EYE DISORDERS,CONJUNCTIVAL HAEMORRHAGE,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,EYE DISORDERS,CONJUNCTIVAL HAEMORRHAGE,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,EYE DISORDERS,CONJUNCTIVITIS,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,EYE DISORDERS,CONJUNCTIVITIS,Placebo,count,quantify,_ALL_,2,
Y,Y,EYE DISORDERS,EYE ALLERGY,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,EYE DISORDERS,EYE ALLERGY,Placebo,count,quantify,_ALL_,1,
Y,Y,EYE DISORDERS,EYE PRURITUS,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,EYE DISORDERS,EYE PRURITUS,Placebo,count,quantify,_ALL_,1,
Y,Y,EYE DISORDERS,EYE SWELLING,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,EYE DISORDERS,EYE SWELLING,Placebo,count,quantify,_ALL_,1,
Y,Y,EYE DISORDERS,VISION BLURRED,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,EYE DISORDERS,VISION BLURRED,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,EYE DISORDERS,VISION BLURRED,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,EYE DISORDERS,VISION BLURRED,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,ABDOMINAL DISCOMFORT,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,ABDOMINAL DISCOMFORT,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,ABDOMINAL PAIN,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,ABDOMINAL PAIN,Placebo,count,quantify,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,ABDOMINAL PAIN,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,ABDOMINAL PAIN,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,GASTROINTESTINAL DISORDERS,ABDOMINAL PAIN,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,3,
Y,Y,GASTROINTESTINAL DISORDERS,ABDOMINAL PAIN,Xanomeline Low Dose,count,quantify,_ALL_,3,
Y,Y,GASTROINTESTINAL DISORDERS,CONSTIPATION,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,CONSTIPATION,Placebo,count,quantify,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,DIARRHOEA,Placebo,countdistinct,usubjid,_ALL_,9,
Y,Y,GASTROINTESTINAL DISORDERS,DIARRHOEA,Placebo,count,quantify,_ALL_,10,
Y,Y,GASTROINTESTINAL DISORDERS,DIARRHOEA,Xanomeline High Dose,countdistinct,usubjid,_ALL_,4,
Y,Y,GASTROINTESTINAL DISORDERS,DIARRHOEA,Xanomeline High Dose,count,quantify,_ALL_,4,
Y,Y,GASTROINTESTINAL DISORDERS,DIARRHOEA,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,4,
Y,Y,GASTROINTESTINAL DISORDERS,DIARRHOEA,Xanomeline Low Dose,count,quantify,_ALL_,5,
Y,Y,GASTROINTESTINAL DISORDERS,DYSPEPSIA,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,DYSPEPSIA,Placebo,count,quantify,_ALL_,2,
Y,Y,GASTROINTESTINAL DISORDERS,DYSPEPSIA,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,DYSPEPSIA,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,GASTROINTESTINAL DISORDERS,DYSPHAGIA,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,DYSPHAGIA,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,FLATULENCE,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,FLATULENCE,Placebo,count,quantify,_ALL_,2,
Y,Y,GASTROINTESTINAL DISORDERS,GASTROINTESTINAL HAEMORRHAGE,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,GASTROINTESTINAL HAEMORRHAGE,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,GASTROOESOPHAGEAL REFLUX DISEASE,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,GASTROOESOPHAGEAL REFLUX DISEASE,Placebo,count,quantify,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,GLOSSITIS,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,GLOSSITIS,Placebo,count,quantify,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,HIATUS HERNIA,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,HIATUS HERNIA,Placebo,count,quantify,_ALL_,2,
Y,Y,GASTROINTESTINAL DISORDERS,NAUSEA,Placebo,countdistinct,usubjid,_ALL_,3,
Y,Y,GASTROINTESTINAL DISORDERS,NAUSEA,Placebo,count,quantify,_ALL_,3,
Y,Y,GASTROINTESTINAL DISORDERS,NAUSEA,Xanomeline High Dose,countdistinct,usubjid,_ALL_,6,
Y,Y,GASTROINTESTINAL DISORDERS,NAUSEA,Xanomeline High Dose,count,quantify,_ALL_,13,
Y,Y,GASTROINTESTINAL DISORDERS,NAUSEA,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,3,
Y,Y,GASTROINTESTINAL DISORDERS,NAUSEA,Xanomeline Low Dose,count,quantify,_ALL_,5,
Y,Y,GASTROINTESTINAL DISORDERS,RECTAL HAEMORRHAGE,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,RECTAL HAEMORRHAGE,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,GASTROINTESTINAL DISORDERS,SALIVARY HYPERSECRETION,Xanomeline High Dose,countdistinct,usubjid,_ALL_,4,
Y,Y,GASTROINTESTINAL DISORDERS,SALIVARY HYPERSECRETION,Xanomeline High Dose,count,quantify,_ALL_,5,
Y,Y,GASTROINTESTINAL DISORDERS,STOMACH DISCOMFORT,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,STOMACH DISCOMFORT,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,GASTROINTESTINAL DISORDERS,VOMITING,Placebo,countdistinct,usubjid,_ALL_,3,
Y,Y,GASTROINTESTINAL DISORDERS,VOMITING,Placebo,count,quantify,_ALL_,3,
Y,Y,GASTROINTESTINAL DISORDERS,VOMITING,Xanomeline High Dose,countdistinct,usubjid,_ALL_,7,
Y,Y,GASTROINTESTINAL DISORDERS,VOMITING,Xanomeline High Dose,count,quantify,_ALL_,9,
Y,Y,GASTROINTESTINAL DISORDERS,VOMITING,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,3,
Y,Y,GASTROINTESTINAL DISORDERS,VOMITING,Xanomeline Low Dose,count,quantify,_ALL_,4,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE BLEEDING,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE BLEEDING,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE DERMATITIS,Placebo,countdistinct,usubjid,_ALL_,5,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE DERMATITIS,Placebo,count,quantify,_ALL_,9,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE DERMATITIS,Xanomeline High Dose,countdistinct,usubjid,_ALL_,7,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE DERMATITIS,Xanomeline High Dose,count,quantify,_ALL_,12,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE DERMATITIS,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,9,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE DERMATITIS,Xanomeline Low Dose,count,quantify,_ALL_,15,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE DESQUAMATION,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE DESQUAMATION,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE DISCHARGE,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE DISCHARGE,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE DISCOLOURATION,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE DISCOLOURATION,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE ERYTHEMA,Placebo,countdistinct,usubjid,_ALL_,3,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE ERYTHEMA,Placebo,count,quantify,_ALL_,3,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE ERYTHEMA,Xanomeline High Dose,countdistinct,usubjid,_ALL_,15,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE ERYTHEMA,Xanomeline High Dose,count,quantify,_ALL_,23,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE ERYTHEMA,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,12,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE ERYTHEMA,Xanomeline Low Dose,count,quantify,_ALL_,20,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE INDURATION,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE INDURATION,Placebo,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE IRRITATION,Placebo,countdistinct,usubjid,_ALL_,3,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE IRRITATION,Placebo,count,quantify,_ALL_,7,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE IRRITATION,Xanomeline High Dose,countdistinct,usubjid,_ALL_,9,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE IRRITATION,Xanomeline High Dose,count,quantify,_ALL_,16,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE IRRITATION,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,9,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE IRRITATION,Xanomeline Low Dose,count,quantify,_ALL_,18,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE PAIN,Xanomeline High Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE PAIN,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE PERSPIRATION,Xanomeline High Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE PERSPIRATION,Xanomeline High Dose,count,quantify,_ALL_,3,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE PRURITUS,Placebo,countdistinct,usubjid,_ALL_,6,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE PRURITUS,Placebo,count,quantify,_ALL_,10,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE PRURITUS,Xanomeline High Dose,countdistinct,usubjid,_ALL_,22,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE PRURITUS,Xanomeline High Dose,count,quantify,_ALL_,35,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE PRURITUS,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,22,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE PRURITUS,Xanomeline Low Dose,count,quantify,_ALL_,32,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE REACTION,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE REACTION,Placebo,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE REACTION,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE REACTION,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE SWELLING,Xanomeline High Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE SWELLING,Xanomeline High Dose,count,quantify,_ALL_,3,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE SWELLING,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE SWELLING,Xanomeline Low Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE URTICARIA,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE URTICARIA,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE URTICARIA,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE URTICARIA,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE VESICLES,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE VESICLES,Placebo,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE VESICLES,Xanomeline High Dose,countdistinct,usubjid,_ALL_,6,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE VESICLES,Xanomeline High Dose,count,quantify,_ALL_,6,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE VESICLES,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,4,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE VESICLES,Xanomeline Low Dose,count,quantify,_ALL_,5,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE WARMTH,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,APPLICATION SITE WARMTH,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,ASTHENIA,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,ASTHENIA,Placebo,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,ASTHENIA,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,ASTHENIA,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,CHEST DISCOMFORT,Xanomeline High Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,CHEST DISCOMFORT,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,CHEST PAIN,Xanomeline High Dose,countdistinct,usubjid,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,CHEST PAIN,Xanomeline High Dose,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,CHILLS,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,CHILLS,Placebo,count,quantify,_ALL_,3,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,CHILLS,Xanomeline High Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,CHILLS,Xanomeline High Dose,count,quantify,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,CHILLS,Xanomeline Low Dose,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,CHILLS,Xanomeline Low Dose,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,FATIGUE,Placebo,countdistinct,usubjid,_ALL_,1,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,FATIGUE,Placebo,count,quantify,_ALL_,2,
Y,Y,GENERAL DISORDERS AND ADMINISTRA,FATIGUE,Xanomeline High Dose,countdistinct,usubjid,_ALL_,5,
